index,occurrence_unique_id,occurrence_year,division,homicide_type,occurrence_date,hood_id,neighbourhood,longitude,latitude,object_id,x,y
1143,GO-2018413955,2018,D33,Stabbing,2018-03-06 13:00:00,45,Parkwoods-Donalda (45),-79.34718858,43.76175183,624,-79.34718858,43.761751829999994
1144,GO-2018444497,2018,D23,Shooting,2018-03-10 13:00:00,2,Mount Olive-Silverstone-Jamestown (2),-79.58812551,43.74631642,625,-79.58812551,43.74631641999999
1145,GO-2018484039,2018,D23,Shooting,2018-03-16 12:00:00,8,Humber Heights-Westmount (8),-79.5173064,43.69461525,626,-79.5173064,43.69461525
1146,GO-2018489653,2018,D32,Shooting,2018-03-17 12:00:00,31,Yorkdale-Glen Park (31),-79.45547639,43.71764066,627,-79.45547639,43.71764066
1147,GO-2018489653,2018,D32,Shooting,2018-03-17 12:00:00,31,Yorkdale-Glen Park (31),-79.45547639,43.71764066,628,-79.45547639,43.71764066
1148,GO-2018619032,2018,D41,Shooting,2018-04-06 12:00:00,45,Parkwoods-Donalda (45),-79.31812314,43.76451458,629,-79.31812314,43.76451457999998
1149,GO-2018639035,2018,D55,Stabbing,2018-04-10 12:00:00,58,Old East York (58),-79.34307626,43.6947226,630,-79.34307626,43.69472259999999
1150,GO-2018711594,2018,D41,Stabbing,2018-04-21 12:00:00,124,Kennedy Park (124),-79.25243361,43.72779384,631,-79.25243361,43.72779383999998
1151,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,632,-79.41051878,43.75994737999999
1152,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,633,-79.41051878,43.75994737999999
1153,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,634,-79.41051878,43.75994737999999
1154,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,635,-79.41051878,43.75994737999999
1155,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,636,-79.41051878,43.75994737999999
1156,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,637,-79.41051878,43.75994737999999
1157,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,638,-79.41051878,43.75994737999999
1158,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,639,-79.41051878,43.75994737999999
1159,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,640,-79.41051878,43.75994737999999
1160,GO-2018725711,2018,D32,Other,2018-04-23 12:00:00,38,Lansing-Westgate (38),-79.41051878,43.75994738,641,-79.41051878,43.75994737999999
1161,GO-2018813479,2018,D41,Stabbing,2018-05-06 12:00:00,122,Birchcliffe-Cliffside (122),-79.27870905,43.67477193,642,-79.27870905,43.67477193
1162,GO-2018821806,2018,D22,Shooting,2018-05-07 12:00:00,10,Princess-Rosethorn (10),-79.55012904,43.67339566,643,-79.55012904,43.67339565999998
1163,GO-2018907125,2018,D43,Shooting,2018-05-20 12:00:00,135,Morningside (135),-79.21615056,43.7754204,644,-79.21615056,43.7754204
1164,GO-2018911506,2018,D52,Shooting,2018-05-20 12:00:00,76,Bay Street Corridor (76),-79.37733067,43.64784591,645,-79.37733066999999,43.647845909999994
1165,GO-2018929488,2018,D14,Stabbing,2018-05-23 12:00:00,95,Annex (95),-79.40526597,43.67030834,646,-79.40526597,43.67030834
1166,GO-2018946587,2018,D55,Other,2018-05-25 12:00:00,57,Broadview North (57),-79.35128009,43.69198434,647,-79.35128009000002,43.69198433999999
1167,GO-2018945776,2018,D55,Stabbing,2018-05-25 12:00:00,62,East End-Danforth (62),-79.30114138,43.67812586,648,-79.30114138,43.678125859999994
1170,GO-2018958547,2018,D42,Shooting,2018-05-28 12:00:00,132,Malvern (132),-79.22418706,43.80449208,649,-79.22418706,43.804492079999996
1171,GO-2018965463,2018,D53,Shooting,2018-05-28 12:00:00,95,Annex (95),-79.39015983,43.67135683,650,-79.39015983,43.67135682999999
1172,GO-2018979942,2018,D52,Shooting,2018-05-30 12:00:00,76,Bay Street Corridor (76),-79.38088599,43.65632883,651,-79.38088598999998,43.65632882999999
1173,GO-20181021340,2018,D22,Shooting,2018-06-05 12:00:00,18,New Toronto (18),-79.50936023,43.60258723,652,-79.50936023,43.60258723
1175,GO-20181046556,2018,D11,Stabbing,2018-06-09 12:00:00,84,Little Portugal (84),-79.43287384,43.64781668,653,-79.43287384,43.647816680000005
1176,GO-20181066328,2018,D14,Other,2018-06-09 12:00:00,82,Niagara (82),-79.40956504,43.64529628,654,-79.40956504,43.64529627999999
1177,GO-20181075301,2018,D11,Other,2018-06-13 12:00:00,86,Roncesvalles (86),-79.43532226,43.64420447,655,-79.43532226000002,43.64420446999999
1178,GO-20181091522,2018,D41,Stabbing,2018-06-16 12:00:00,123,Cliffcrest (123),-79.24913752,43.71919043,656,-79.24913752,43.71919043
1179,GO-20181106259,2018,D53,Other,2018-06-18 12:00:00,75,Church-Yonge Corridor (75),-79.3841696,43.67080434,657,-79.3841696,43.67080433999999
1180,GO-20181146367,2018,D32,Shooting,2018-06-24 12:00:00,32,Englemount-Lawrence (32),-79.44386942,43.71948624,658,-79.44386942,43.719486239999995
1181,GO-20181146418,2018,D23,Shooting,2018-06-24 12:00:00,3,Thistletown-Beaumond Heights (3),-79.57639979,43.73845538,659,-79.57639979,43.73845538
1182,GO-20181146418,2018,D23,Shooting,2018-06-24 12:00:00,3,Thistletown-Beaumond Heights (3),-79.57639979,43.73845538,660,-79.57639979,43.73845538
1184,GO-20181142174,2018,D23,Stabbing,2018-06-23 12:00:00,1,West Humber-Clairville (1),-79.59033164,43.73401277,661,-79.59033163999999,43.734012769999985
1185,GO-20181152121,2018,D51,Shooting,2018-06-25 12:00:00,73,Moss Park (73),-79.37099208,43.65829436,662,-79.37099208000001,43.65829435999999
